model,MAE,RMSE,R2,notes
CV_summary,,,,
rf_model,6.226155989160847,13.25154422707457,0.2688948136103487,
rf_log_model,5.501279258195066,16.006862318244963,-0.06674177470640008,
rf_tfidf_model,6.340247524752475,16.221612363549664,-0.0955568593561753,
best_rf_rs,5.772544887850599,13.860011117237931,0.2002135513802511,
best_xgb_rs,5.929809093475342,13.734263344789317,0.21466010808944702,
